protocol,tls_version,cipher,key_size,cert_expired,cert_not_yet_valid,signature_algorithm,starttls,forward_secrecy,risk_label
IMAP,TLS1.3,AES_256_GCM,,,,,1,1,Low
SMTP,TLS1.2,AES_128_GCM,4096.0,0.0,0.0,SHA384,1,1,Low
SMTP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA256,0,1,Low
SMTP,TLS1.3,AES_256_GCM,,,,,1,0,Low
POP3,TLS1.2,AES_256_CBC,2048.0,0.0,0.0,SHA256,1,0,Medium
POP3,TLS1.3,AES_128_GCM,,,,,1,1,Low
IMAP,TLS1.2,AES_128_GCM,3072.0,0.0,0.0,SHA384,0,0,Medium
POP3,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA256,1,1,Low
POP3,TLS1.2,AES_128_CBC,2048.0,0.0,0.0,SHA256,1,1,Medium
POP3,TLS1.1,AES_128_CBC,2048.0,0.0,0.0,SHA256,1,1,Medium
SMTP,TLS1.2,AES_128_GCM,2048.0,0.0,0.0,SHA512,0,0,Medium
IMAP,TLS1.1,AES_128_GCM,2048.0,0.0,0.0,SHA1,0,1,High
